Frequência (Hz)	Nível (dB)
43.066406	-55.882954
86.132812	-57.277168
129.199219	-55.685234
172.265625	-52.733505
215.332031	-50.639713
258.398438	-53.150841
301.464844	-52.483711
344.531250	-50.851692
387.597656	-50.922497
430.664062	-49.387688
473.730469	-50.249252
516.796875	-52.107571
559.863281	-50.284672
602.929688	-50.091633
645.996094	-49.583366
689.062500	-50.752647
732.128906	-53.182152
775.195312	-51.341370
818.261719	-50.997231
861.328125	-54.354149
904.394531	-52.053749
947.460938	-53.443558
990.527344	-50.704670
1033.593750	-50.062416
1076.660156	-50.392994
1119.726562	-50.252808
1162.792969	-49.658264
1205.859375	-48.039303
1248.925781	-49.658489
1291.992188	-47.521980
1335.058594	-47.033909
1378.125000	-48.548820
1421.191406	-48.437183
1464.257812	-49.819172
1507.324219	-47.185089
1550.390625	-46.851288
1593.457031	-46.395920
1636.523438	-47.643326
1679.589844	-47.884079
1722.656250	-48.665775
1765.722656	-47.498142
1808.789062	-48.594185
1851.855469	-50.064770
1894.921875	-49.035007
1937.988281	-48.165443
1981.054688	-48.270950
2024.121094	-49.040581
2067.187500	-49.001640
2110.253906	-50.388657
2153.320312	-50.010159
2196.386719	-50.066750
2239.453125	-48.842556
2282.519531	-48.210186
2325.585938	-49.392632
2368.652344	-51.259392
2411.718750	-50.124008
2454.785156	-48.412338
2497.851562	-48.927544
2540.917969	-49.837639
2583.984375	-48.954151
2627.050781	-50.336166
2670.117188	-51.343658
2713.183594	-50.537960
2756.250000	-52.693356
2799.316406	-53.314743
2842.382812	-53.229843
2885.449219	-50.925320
2928.515625	-50.165882
2971.582031	-51.983536
3014.648438	-51.620293
3057.714844	-50.921249
3100.781250	-50.922443
3143.847656	-50.934052
3186.914062	-51.090603
3229.980469	-51.739361
3273.046875	-51.532150
3316.113281	-48.769478
3359.179688	-48.536457
3402.246094	-50.960785
3445.312500	-52.411713
3488.378906	-53.037128
3531.445312	-53.655460
3574.511719	-52.205051
3617.578125	-51.736141
3660.644531	-53.062523
3703.710938	-53.799026
3746.777344	-53.918922
3789.843750	-52.824078
3832.910156	-52.643345
3875.976562	-53.460339
3919.042969	-55.290272
3962.109375	-55.954285
4005.175781	-53.609959
4048.242188	-54.060551
4091.308594	-53.829227
4134.375000	-53.691021
4177.441406	-52.949867
4220.507812	-51.998394
4263.574219	-54.968586
4306.640625	-54.137146
4349.707031	-54.751492
4392.773438	-55.732536
4435.839844	-55.862206
4478.906250	-54.906425
4521.972656	-54.249641
4565.039062	-56.453171
4608.105469	-56.280582
4651.171875	-55.986488
4694.238281	-55.959057
4737.304688	-55.900688
4780.371094	-55.875427
4823.437500	-54.884361
4866.503906	-54.416843
4909.570312	-55.999905
4952.636719	-56.749969
4995.703125	-57.691994
5038.769531	-55.966682
5081.835938	-56.075466
5124.902344	-56.326424
5167.968750	-56.635670
5211.035156	-58.324589
5254.101562	-56.616032
5297.167969	-59.054779
5340.234375	-58.156586
5383.300781	-58.630348
5426.367188	-57.822445
5469.433594	-59.460846
5512.500000	-60.145565
5555.566406	-58.625706
5598.632812	-59.274860
5641.699219	-59.705677
5684.765625	-61.159363
5727.832031	-60.994495
5770.898438	-61.101982
5813.964844	-61.570618
5857.031250	-62.747433
5900.097656	-60.847710
5943.164062	-60.262829
5986.230469	-60.188385
6029.296875	-58.860806
6072.363281	-61.824787
6115.429688	-60.739201
6158.496094	-60.151833
6201.562500	-61.328011
6244.628906	-62.185345
6287.695312	-60.081104
6330.761719	-61.979836
6373.828125	-60.269020
6416.894531	-59.097759
6459.960938	-61.243359
6503.027344	-62.083336
6546.093750	-62.080311
6589.160156	-62.954716
6632.226562	-61.237907
6675.292969	-62.642853
6718.359375	-61.495064
6761.425781	-62.339607
6804.492188	-63.085255
6847.558594	-61.718708
6890.625000	-61.332565
6933.691406	-63.858150
6976.757812	-67.697098
7019.824219	-64.969757
7062.890625	-64.605301
7105.957031	-65.090683
7149.023438	-63.715206
7192.089844	-67.344994
7235.156250	-66.901009
7278.222656	-65.596344
7321.289062	-65.032478
7364.355469	-66.995590
7407.421875	-66.979500
7450.488281	-64.232933
7493.554688	-64.802658
7536.621094	-65.632301
7579.687500	-64.404411
7622.753906	-67.130257
7665.820312	-67.992058
7708.886719	-66.151024
7751.953125	-64.764862
7795.019531	-64.657875
7838.085938	-64.195969
7881.152344	-64.076881
7924.218750	-64.336159
7967.285156	-65.789925
8010.351562	-65.759277
8053.417969	-65.701103
8096.484375	-66.121025
8139.550781	-66.451569
8182.617188	-68.696274
8225.683594	-67.459236
8268.750000	-67.393654
8311.816406	-66.094345
8354.882812	-65.641747
8397.949219	-64.784477
8441.015625	-64.700119
8484.082031	-65.936119
8527.148438	-66.743774
8570.214844	-66.744858
8613.281250	-68.594795
8656.347656	-65.533287
8699.414062	-64.823112
8742.480469	-67.137192
8785.546875	-69.049736
8828.613281	-68.934532
8871.679688	-67.700493
8914.746094	-67.985886
8957.812500	-69.949280
9000.878906	-71.139954
9043.945312	-72.838074
9087.011719	-69.724846
9130.078125	-68.751205
9173.144531	-70.589188
9216.210938	-68.519836
9259.277344	-69.344643
9302.343750	-72.205078
9345.410156	-71.353378
9388.476562	-69.906113
9431.542969	-68.633247
9474.609375	-68.480003
9517.675781	-67.895187
9560.742188	-69.664505
9603.808594	-70.974304
9646.875000	-70.215164
9689.941406	-69.436882
9733.007812	-71.399895
9776.074219	-70.898033
9819.140625	-69.280624
9862.207031	-68.500565
9905.273438	-69.666428
9948.339844	-69.008148
9991.406250	-67.842621
10034.472656	-69.725914
10077.539062	-69.954552
10120.605469	-71.296097
10163.671875	-72.022598
10206.738281	-72.928246
10249.804688	-74.901505
10292.871094	-73.927246
10335.937500	-71.217323
10379.003906	-69.129768
10422.070312	-69.963318
10465.136719	-72.247299
10508.203125	-71.633400
10551.269531	-72.798103
10594.335938	-72.418465
10637.402344	-74.323875
10680.468750	-75.077187
10723.535156	-71.973137
10766.601562	-71.593231
10809.667969	-73.121323
10852.734375	-74.330147
10895.800781	-75.242348
10938.867188	-75.652641
10981.933594	-74.576363
11025.000000	-73.178368
11068.066406	-70.811371
11111.132812	-73.002983
11154.199219	-73.398109
11197.265625	-72.073380
11240.332031	-70.062683
11283.398438	-70.614319
11326.464844	-72.257042
11369.531250	-73.207512
11412.597656	-74.372139
11455.664062	-73.778076
11498.730469	-71.251778
11541.796875	-73.626022
11584.863281	-74.612450
11627.929688	-75.253304
11670.996094	-75.233490
11714.062500	-73.829620
11757.128906	-75.248764
11800.195312	-74.807846
11843.261719	-74.826515
11886.328125	-77.923782
11929.394531	-79.263214
11972.460938	-75.852386
12015.527344	-72.911469
12058.593750	-72.048759
12101.660156	-73.962456
12144.726562	-73.952065
12187.792969	-74.792366
12230.859375	-77.123924
12273.925781	-79.011803
12316.992188	-78.153152
12360.058594	-76.050369
12403.125000	-76.068825
12446.191406	-78.464081
12489.257812	-78.093010
12532.324219	-77.951088
12575.390625	-73.253563
12618.457031	-73.234894
12661.523438	-77.780113
12704.589844	-78.044571
12747.656250	-75.804787
12790.722656	-74.977379
12833.789062	-75.682869
12876.855469	-76.766655
12919.921875	-80.941498
12962.988281	-76.788872
13006.054688	-76.094414
13049.121094	-77.062798
13092.187500	-80.658722
13135.253906	-78.243805
13178.320312	-78.041733
13221.386719	-74.383377
13264.453125	-75.802986
13307.519531	-80.171097
13350.585938	-76.719604
13393.652344	-76.470840
13436.718750	-75.877716
13479.785156	-76.027275
13522.851562	-77.642639
13565.917969	-81.596718
13608.984375	-82.566513
13652.050781	-76.553406
13695.117188	-75.554367
13738.183594	-80.370361
13781.250000	-80.408012
13824.316406	-77.966866
13867.382812	-78.621384
13910.449219	-78.293785
13953.515625	-78.296471
13996.582031	-79.877441
14039.648438	-79.327347
14082.714844	-81.416870
14125.781250	-80.873306
14168.847656	-79.175079
14211.914062	-78.238960
14254.980469	-80.014313
14298.046875	-77.825188
14341.113281	-78.554955
14384.179688	-81.599472
14427.246094	-81.693115
14470.312500	-80.713921
14513.378906	-82.728584
14556.445312	-83.546074
14599.511719	-83.623665
14642.578125	-82.478119
14685.644531	-82.741714
14728.710938	-83.353821
14771.777344	-80.853241
14814.843750	-80.520996
14857.910156	-81.801521
14900.976562	-79.275528
14944.042969	-79.827942
14987.109375	-80.374443
15030.175781	-80.793900
15073.242188	-82.590431
15116.308594	-79.607979
15159.375000	-80.695572
15202.441406	-82.590164
15245.507812	-81.693253
15288.574219	-80.658073
15331.640625	-80.480400
15374.707031	-81.930290
15417.773438	-81.895340
15460.839844	-81.737511
15503.906250	-83.174965
15546.972656	-81.936493
15590.039062	-81.984642
15633.105469	-79.323090
15676.171875	-81.007790
15719.238281	-82.380180
15762.304688	-81.865356
15805.371094	-83.163330
15848.437500	-82.793449
15891.503906	-82.199165
